Time (s),Channel 1 (V),TIME
-0.047335,-1.68389077697486,0.00255
-0.0473225,-1.70265424684451,0.0025625
-0.04731,-1.70265424684451,0.002575
-0.0472975,-1.71391232876629,0.0025875
-0.047285,-1.70640694081843,0.0026
-0.0472725,-1.71015963479236,0.0026125
-0.04726,-1.71015963479236,0.002625
-0.0472475,-1.71015963479236,0.0026375
-0.047235,-1.72141771671415,0.00265
-0.0472225,-1.72892310466201,0.0026625
-0.04721,-1.73267579863594,0.002675
-0.0471975,-1.7401811865838,0.0026875
-0.047185,-1.75519196247951,0.0027
-0.0471725,-1.7664500444013,0.0027125
-0.04716,-1.7664500444013,0.002725
-0.0471475,-1.78146082029702,0.0027375
-0.047135,-1.77770812632309,0.00275
-0.0471225,-1.78521351427095,0.0027625
-0.04711,-1.79647159619273,0.002775
-0.0470975,-1.7927189022188,0.0027875
-0.047085,-1.81148237208845,0.0028
-0.0470725,-1.81148237208846,0.0028125
-0.04706,-1.82649314798417,0.002825
-0.0470475,-1.81523506606238,0.0028375
-0.047035,-1.82274045401024,0.00285
-0.0470225,-1.82274045401024,0.0028625
-0.04701,-1.83775122990596,0.002875
-0.0469975,-1.86026739374953,0.0028875
-0.046985,-1.86026739374953,0.0029
-0.0469725,-1.86026739374953,0.0029125
-0.04696,-1.8565146997756,0.002925
-0.0469475,-1.86777278169739,0.0029375
-0.046935,-1.86777278169739,0.00295
-0.0469225,-1.87527816964525,0.0029625
-0.04691,-1.88653625156703,0.002975
-0.0468975,-1.8827835575931,0.0029875
-0.046885,-1.89779433348882,0.003
-0.0468725,-1.89779433348882,0.0030125
-0.04686,-1.89779433348882,0.003025
-0.0468475,-1.91655780335847,0.0030375
-0.046835,-1.92031049733239,0.00305
-0.0468225,-1.92406319130632,0.0030625
-0.04681,-1.91280510938454,0.003075
-0.0467975,-1.92406319130632,0.0030875
-0.046785,-1.91280510938454,0.0031
-0.0467725,-1.93156857925418,0.0031125
-0.04676,-1.93532127322812,0.003125
-0.0467475,-1.9465793551499,0.0031375
-0.046735,-1.95033204912383,0.00315
-0.0467225,-1.96159013104562,0.0031625
-0.04671,-1.96159013104562,0.003175
-0.0466975,-1.96534282501955,0.0031875
-0.046685,-1.9728482129674,0.0032
-0.0466725,-1.98035360091526,0.0032125
-0.04666,-1.98035360091526,0.003225
-0.0466475,-1.99161168283705,0.0032375
-0.046635,-1.99911707078491,0.00325
-0.0466225,-2.00662245873276,0.0032625
-0.04661,-2.01037515270669,0.003275
-0.0465975,-2.01412784668062,0.0032875
-0.046585,-2.01788054065455,0.0033
-0.0465725,-2.01788054065455,0.0033125
-0.04656,-2.01037515270669,0.003325
-0.0465475,-2.01037515270669,0.0033375
-0.046535,-2.02538592860241,0.00335
-0.0465225,-2.03289131655027,0.0033625
-0.04651,-2.04039670449812,0.003375
-0.0464975,-2.05165478641991,0.0033875
-0.046485,-2.05165478641991,0.0034
-0.0464725,-2.05165478641991,0.0034125
-0.04646,-2.05540748039384,0.003425
-0.0464475,-2.05540748039384,0.0034375
-0.046435,-2.05540748039384,0.00345
-0.0464225,-2.07041825628956,0.0034625
-0.04641,-2.0629128683417,0.003475
-0.0463975,-2.07417095026349,0.0034875
-0.046385,-2.07417095026349,0.0035
-0.0463725,-2.08167633821135,0.0035125
-0.04636,-2.08167633821135,0.003525
-0.0463475,-2.08918172615921,0.0035375
-0.046335,-2.08542903218528,0.00355
-0.0463225,-2.09293442013313,0.0035625
-0.04631,-2.10043980808099,0.003575
-0.0462975,-2.10043980808099,0.0035875
-0.046285,-2.11169789000278,0.0036
-0.0462725,-2.10794519602885,0.0036125
-0.04626,-2.11920327795063,0.003625
-0.0462475,-2.13796674782028,0.0036375
-0.046235,-2.13796674782028,0.00365
-0.0462225,-2.14547213576814,0.0036625
-0.04621,-2.16048291166386,0.003675
-0.0461975,-2.152977523716,0.0036875
-0.046185,-2.15673021768993,0.0037
-0.0461725,-2.15673021768993,0.0037125
-0.04616,-2.14922482974207,0.003725
-0.0461475,-2.15673021768993,0.0037375
-0.046135,-2.152977523716,0.00375
-0.0461225,-2.152977523716,0.0037625
-0.04611,-2.17174099358565,0.003775
-0.0460975,-2.16048291166386,0.0037875
-0.046085,-2.17174099358565,0.0038
-0.0460725,-2.17174099358565,0.0038125
-0.04606,-2.18299907550743,0.003825
-0.0460475,-2.1792463815335,0.0038375
-0.046035,-2.19800985140315,0.00385
-0.0460225,-2.19050446345529,0.0038625
-0.04601,-2.19425715742922,0.003875
-0.0459975,-2.20176254537708,0.0038875
-0.045985,-2.19425715742922,0.0039
-0.0459725,-2.19800985140315,0.0039125
