time	V(out)	V(n003)
5.521379738327088e-002	2.453347e+000	-4.988726e-002
5.540910988327088e-002	2.446644e+000	-4.958760e-002
5.560442238327088e-002	2.434575e+000	-4.910130e-002
5.585328604130514e-002	2.407666e+000	-4.821422e-002
5.587726406643270e-002	2.403752e+000	-4.811308e-002
5.590124209156027e-002	2.399461e+000	-4.800922e-002
5.592522011668784e-002	2.394795e+000	-4.790265e-002
5.594919814181541e-002	2.389752e+000	-4.779336e-002
5.597317616694297e-002	2.384333e+000	-4.768135e-002
5.599715419207054e-002	2.378537e+000	-4.756663e-002
5.602113221719811e-002	2.372365e+000	-4.744920e-002
5.629265445051632e-002	2.294271e+000	-4.589112e-002
5.656417668383454e-002	2.201544e+000	-4.403930e-002
5.683569891715275e-002	2.094182e+000	-4.189375e-002
5.710722115047096e-002	1.972186e+000	-3.945446e-002
5.737874338378918e-002	1.835556e+000	-3.672145e-002
5.765026561710739e-002	1.684293e+000	-3.369470e-002
5.792178785042561e-002	1.518395e+000	-3.037421e-002
5.811710035042561e-002	1.392515e+000	-2.785588e-002
5.831241285042561e-002	1.262659e+000	-2.525803e-002
5.850772535042562e-002	1.128829e+000	-2.258067e-002
5.870303785042562e-002	9.910231e-001	-1.982380e-002
5.889835035042562e-002	8.492426e-001	-1.698741e-002
5.909366285042562e-002	7.034871e-001	-1.407151e-002
5.928897535042563e-002	5.537566e-001	-1.107610e-002
5.958194410042563e-002	3.274089e-001	-6.547944e-003
5.987491285042564e-002	9.828951e-002	-1.964359e-003
6.026553785042564e-002	-2.081607e-001	4.166223e-003
6.055850660042565e-002	-4.361947e-001	8.728056e-003
6.085147535042565e-002	-6.605362e-001	1.321600e-002
6.114444410042565e-002	-8.792862e-001	1.759208e-002
6.143741285042566e-002	-1.090593e+000	2.181923e-002
6.173038160042566e-002	-1.292668e+000	2.586168e-002
6.198149767185423e-002	-1.459388e+000	2.919687e-002
6.223261374328279e-002	-1.614821e+000	3.230624e-002
6.248372981471136e-002	-1.758967e+000	3.518979e-002
6.273484588613992e-002	-1.891825e+000	3.784753e-002
6.298596195756848e-002	-2.013396e+000	4.027944e-002
6.323707802899704e-002	-2.123679e+000	4.248555e-002
6.348819410042561e-002	-2.222674e+000	4.446583e-002
6.357442906030131e-002	-2.252960e+000	4.506992e-002
6.366066402017699e-002	-2.281517e+000	4.563993e-002
6.374689898005269e-002	-2.308345e+000	4.617586e-002
6.383313393992837e-002	-2.333445e+000	4.667771e-002
6.391936889980407e-002	-2.356816e+000	4.714547e-002
6.400560385967975e-002	-2.378458e+000	4.757916e-002
6.409183881955545e-002	-2.398372e+000	4.797876e-002
6.413298561216892e-002	-2.405290e+000	4.815671e-002
6.417413240478240e-002	-2.411568e+000	4.832655e-002
6.421527919739586e-002	-2.417203e+000	4.848828e-002
6.425642599000933e-002	-2.422198e+000	4.864190e-002
6.429757278262280e-002	-2.426551e+000	4.878742e-002
6.433871957523628e-002	-2.430264e+000	4.892482e-002
6.437986636784975e-002	-2.433334e+000	4.905412e-002
6.457517886784973e-002	-2.445858e+000	4.955536e-002
6.477049136784972e-002	-2.452996e+000	4.987009e-002
6.486814761784972e-002	-2.454856e+000	4.995711e-002
6.496580386784971e-002	-2.455699e+000	4.999711e-002
6.506346011784971e-002	-2.455547e+000	4.999007e-002
6.516111636784970e-002	-2.454394e+000	4.993596e-002
6.525877261784970e-002	-2.452210e+000	4.983487e-002
6.545408511784968e-002	-2.444368e+000	4.949210e-002
6.586802488483519e-002	-2.405399e+000	4.815239e-002
6.589440082370643e-002	-2.400690e+000	4.803913e-002
6.592077676257768e-002	-2.395590e+000	4.792260e-002
6.594715270144892e-002	-2.390099e+000	4.780278e-002
6.597352864032016e-002	-2.384217e+000	4.767969e-002
6.599990457919140e-002	-2.377943e+000	4.755332e-002
6.602628051806266e-002	-2.371279e+000	4.742366e-002
6.605265645693390e-002	-2.364223e+000	4.729073e-002
6.631772342121960e-002	-2.286437e+000	4.573684e-002
6.658279038550530e-002	-2.194708e+000	4.390347e-002
6.684785734979100e-002	-2.089034e+000	4.179062e-002
6.711292431407669e-002	-1.969417e+000	3.939829e-002
6.737799127836239e-002	-1.835856e+000	3.672648e-002
6.764305824264809e-002	-1.688351e+000	3.377518e-002
6.790812520693379e-002	-1.526902e+000	3.054441e-002
6.810343770693378e-002	-1.401409e+000	2.803383e-002
6.829875020693377e-002	-1.271905e+000	2.544301e-002
6.849406270693376e-002	-1.138389e+000	2.277194e-002
6.868937520693375e-002	-1.000862e+000	2.002064e-002
6.888468770693373e-002	-8.593237e-001	1.718909e-002
6.908000020693372e-002	-7.137739e-001	1.427731e-002
6.927531270693371e-002	-5.642127e-001	1.128528e-002
6.956828145693370e-002	-3.380412e-001	6.760648e-003
6.986125020693368e-002	-1.090081e-001	2.178787e-003
6.993100467121939e-002	-5.420185e-002	1.082377e-003
7.000075913550510e-002	5.647647e-004	-1.323876e-005
7.007051359979082e-002	5.529171e-002	-1.108060e-003
7.014026806407651e-002	1.099790e-001	-2.202086e-003
7.021002252836223e-002	1.646266e-001	-3.295319e-003
7.027977699264794e-002	2.192346e-001	-4.387757e-003
7.034953145693365e-002	2.738029e-001	-5.479400e-003
7.064250020693363e-002	5.009745e-001	-1.002398e-002
7.093546895693362e-002	7.239054e-001	-1.448370e-002
7.122843770693360e-002	9.407083e-001	-1.882082e-002
7.152140645693358e-002	1.149548e+000	-2.299861e-002
7.181437520693357e-002	1.348656e+000	-2.698172e-002
7.202363859979070e-002	1.485251e+000	-2.971424e-002
7.223290199264783e-002	1.614135e+000	-3.229251e-002
7.244216538550496e-002	1.735309e+000	-3.471653e-002
7.265142877836209e-002	1.848772e+000	-3.698628e-002
7.286069217121922e-002	1.954525e+000	-3.910178e-002
7.306995556407635e-002	2.052567e+000	-4.106303e-002
7.327921895693348e-002	2.142899e+000	-4.287002e-002
7.337687520693348e-002	2.181349e+000	-4.363919e-002
7.347943459894864e-002	2.219621e+000	-4.440441e-002
7.358199399096380e-002	2.255496e+000	-4.512183e-002
7.368455338297895e-002	2.288973e+000	-4.579144e-002
7.378711277499413e-002	2.320052e+000	-4.641324e-002
7.388967216700929e-002	2.348734e+000	-4.698724e-002
7.399223155902444e-002	2.375018e+000	-4.751342e-002
7.409479095103960e-002	2.398904e+000	-4.799179e-002
7.413979868020902e-002	2.406269e+000	-4.818541e-002
7.418480640937845e-002	2.412931e+000	-4.836931e-002
7.422981413854787e-002	2.418888e+000	-4.854350e-002
7.427482186771729e-002	2.424143e+000	-4.870797e-002
7.431982959688671e-002	2.428693e+000	-4.886273e-002
7.436483732605614e-002	2.432540e+000	-4.900777e-002
7.440984505522556e-002	2.435684e+000	-4.914311e-002
7.460515755522555e-002	2.447260e+000	-4.961582e-002
7.480047005522554e-002	2.453678e+000	-4.990180e-002
7.489812630522554e-002	2.455221e+000	-4.997439e-002
7.499578255522553e-002	2.455758e+000	-4.999996e-002
7.509343880522552e-002	2.455300e+000	-4.997846e-002
7.519109505522552e-002	2.453836e+000	-4.990992e-002
7.538640755522551e-002	2.447664e+000	-4.963204e-002
7.558172005522550e-002	2.436304e+000	-4.916736e-002
7.584338902601036e-002	2.409109e+000	-4.825517e-002
7.586714655878120e-002	2.405438e+000	-4.815608e-002
7.589090409155205e-002	2.401376e+000	-4.805433e-002
7.591466162432289e-002	2.396922e+000	-4.794991e-002
7.593841915709375e-002	2.392075e+000	-4.784283e-002
7.596217668986459e-002	2.386837e+000	-4.773307e-002
7.598593422263544e-002	2.381208e+000	-4.762065e-002
7.600969175540628e-002	2.375186e+000	-4.750556e-002
7.628150186752424e-002	2.297722e+000	-4.596011e-002
7.655331197964220e-002	2.205560e+000	-4.411963e-002
7.682512209176015e-002	2.098699e+000	-4.198411e-002
7.709693220387812e-002	1.977139e+000	-3.955356e-002
7.736874231599607e-002	1.840880e+000	-3.682797e-002
7.764055242811403e-002	1.689923e+000	-3.380734e-002
7.791236254023198e-002	1.524267e+000	-3.049168e-002
7.810767504023197e-002	1.398654e+000	-2.797869e-002
7.830298754023196e-002	1.269040e+000	-2.538569e-002
7.849830004023195e-002	1.135426e+000	-2.271267e-002
